ID,工单编号,行业分类1级,行业分类2级,行业分类3级,行业分类4级,诉求内容,原处置单位,处置单位,单位类别
616,20180103140173,其他,其他,其他,其他,市民来电咨询:其2015年在秀英区长彤路绿地文化城购房，当时开放商承诺2017年9月会在小区的附近建立学区房并招生，但至今未看到学校有动工，故来电咨询是什么情况，如果没有建立学校上小孩要到哪里上学？请市规划局核实处理（请职能局按规定在30分钟内联系市民，响应处置）,市教育局,教育局,0
617,20180103138058,公安（治安、交通）,交通管理,交通设施,交警指挥,市民来电咨询：车管所电话号码的问题。,市公安局交通警察支队,公安局交通警察支队,3
618,20180102131744,住房保障,物业服务管理,停电,强制停电,"滨江街道办来电反馈: （工单号20180101121982）《关于琼山区文庄天桥供销社新楼（琼山区供销社集资楼）整栋楼楼梯口没电的问题》工单处理情况
工单内容：市民来电反映:琼山区文庄天桥供销社新楼（琼山区供销社集资楼）整栋楼楼梯口没电，现在情况是楼梯口电表被人用大锁头锁住，楼内也无法抽水。请琼山区政府核实处理!（请职能局按规定在30分钟内联系市民，响应处置）",琼山区政府服务中心,政府服务中心,2
619,20180101121029,城管问题,市容环境,焚烧垃圾,焚烧生活垃圾,市民来电反映: 琼山区云龙镇海榆北路第五条街废品站经常（每两三天）焚烧垃圾，产生严重气味，影响周边居民生活，请城管部门核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,琼山区云龙镇政府,人民政府,3
621,20180103135357,公安（治安、交通）,社会噪声,人为噪音,大声喧哗,市民来电反映: 琼山区河口路实验幼儿园旁边的103号2楼茶艺馆内有人打麻将产生噪音扰民，请市公安局核实处理！,市公安局,公安局,3
623,20180103135478,其他,其他,转接话务代表,转接话务代表,云露派出所来电咨询: 要求转接6802话务代表。,市公安局,公安局,3
624,20180103140111,“12345”热线,12345热线,信息咨询,信息咨询,市民来电咨询: 其要办理户口迁移，办理海南省回国留学人员户口迁移手续通知，咨询海南省留学人员工作站地址和电话，,市公安局,公安局,3
628,20180103146093,公安（治安、交通）,交通管理,交通设施,交警指挥,市民微信反映: 龙华区中沙路3号佳佳经典门口路边有多辆机动车违停。请市交警核实处理，谢谢（请职能局按规定在30分钟内，响应处置）,市公安局交通警察支队,公安局交通警察支队,3
631,20180101119617,其他,其他,其他,其他,市民来电反映: 新城吾悦广场地下停车场收费过高不合理的问题,海口市美兰区物价监督检查局,物价监督检查局,2
632,20180103135501,公安（治安、交通）,社会噪声,人为噪音,大声喧哗,市民来电反映: 美兰区海甸岛三东路丽花城小区一楼烧烤店有人大声喧哗扰民，请公安部门核实处理，谢谢！（请职能局按规定在30分钟内联系市民，响应处置。） ,市公安局,公安局,3
633,20180103139487,住房保障,其他,其他,其他,"市民来电反映:琼山区文庄路鼓楼街与振南街交界处，该处土地线已划线明确归属，但现有一位屋主要将房子违建至巷子处发生纠纷，其要求城管到场处理。请城管局核实处理！（30分钟办件）
2017-12-21 16:17:48市国土资源局：接单后，2017年12月20日10点15分联系诉求人，经了解，现已将土地证号提供给琼山测绘队12月30日前将出具的红线图提供给琼山区城管中队，诉求人表示满意。
市民再次来电反映：现已将至答复时间12月30日问题仍未有后续处理进展，问题未得到解决，请市国土局核实处理！（请职能局按规定在30分钟内核实处理，响应处置）
2017-12-27 14:57:24市国土资源局回复：接单后，2017年12月27日11点20分联系诉求人，经了解，我分局已于琼山测绘队对接，待测绘队确定时间就可去现场测绘确定界线，诉求人表示满意
市民再次来电反映：表示多次来电反映，此问题未得到解决，要求尽快处理给出一个明确时间。请市国土局核实处理！（请职能局按规定在30分钟内核实处理，响应处置）
",市国土资源局,国土资源局,2
634,20180103139741,司法行政,公证服务,无犯罪证明,无犯罪证明,市民来电咨询: 湖南户籍在海口市结婚，但户口未迁移至本市，且没有办理居住证，目前住在海南大学海大桥西小区能否向本地公安局或派出所申请出具无犯罪记录证明。请市公安局核实处理！（请职能局按规定在30分钟联系市民，响应并处置！）,市公安局,公安局,3
635,20180103140013,司法行政,其他,其他,其他,市民来电反映:其计划购买秀英区南海大道南海幸福汇小区，但开发商表示不提供公积金贷款购买，其认为不合理，请住建局核实处理！（请职能局30分之内响应处置）,市住房和城乡建设局,住房和城乡建设局,1
639,20180102125303,其他,其他,其他,其他,市民来电咨询: 现在海口市内国4排放的琼A牌照机动车现在是否还可以办理过户？请交警核实处理。（请职能局按规定在30分钟内核实处理，响应处置） ,市公安局交通警察支队,公安局交通警察支队,3
641,20180103139906,公安（治安、交通）,交通管理,交通设施,交警指挥,"交警来电反馈:政府工单号20180103139450《关于博爱南与文明路交界处有辆轿车违停的问题》工单情况
工单内容：
市民来电反映:博爱南与文明路交界处有辆轿车违停（琼APA009），导致交通拥堵。请交警部门核实处理！（30分钟办件）",市公安局交通警察支队,公安局交通警察支队,3
647,20180103145980,城乡建设,其他,其他,其他,市民来电建议: 其表示在美兰区文明东板桥路没有平价菜市场，只有一个海鲜市场，价格过高，故来电建议美兰区文明东板桥路设置平价菜市场。请美兰区政府核实处理，谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,海口市菜篮子产业集团有限责任公司,菜篮子产业集团有限责任公司,4
650,20180102125224,住房保障,其他,其他,其他,市民来电咨询: 秀英区永桂开发区的永秀花园北一区是否是公租房？是否可以销售？英区长滨路时代城是否有经济适用房？请住建局核实处理。请职能局按规定在30分钟内联系市民，响应处置）,市住房和城乡建设局,住房和城乡建设局,1
651,20180104148257,其他,其他,转接话务代表,转接话务代表,白沙派出所来电要求转接6845号话务员的问题,市公安局,公安局,3
653,20180101120558,公安（治安、交通）,其他,其他,其他,市民微信咨询: 绿本押银行的按揭车，这种情况是否可以申请网约车吗？请交通局核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置） ,市交通运输和港航管理局,交通运输和港航管理局,1
657,20180102132045,公安（治安、交通）,其他,其他,其他,市民来电咨询: 滴滴难打车的问题。,市交通运输和港航管理局,交通运输和港航管理局,1
658,20180103144981,住房保障,物业服务管理,其他,其他,"市民来电咨询:政府工单号20180103143558《关于文明东路236号工商银行宿舍大祥物业撤走现无人管理的问题》工单处理情况
原工单内容：
市民来电反映: 其是文明东路236号工商银行宿舍，原先是由大祥物业管理，房子比较小，缴纳的物业费用不够，导致现大祥物业回本后就撤掉物业，导致该小区现在没有物业，无人进行管理，故来电咨询有何解决办法？请美兰区政府核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）",美兰区政府服务中心,政府服务中心,2
659,20180103145089,卫生计生,其他,其他,其他,市民来电反映: 琼山区勋亭路米铺社区卫生服务站点带孩子打针，工作人员告知不可以打针可是咨询什么原因时社区人员又不告知原因，其觉得不合理故来电投诉，请琼山区政府核实处理！谢谢！（请30分钟响应处置） ,琼山区卫生局,卫生局,0
660,20180103145391,其他,其他,其他,其他,市民来电反映: 要求转接6746 话务代表,市公安局交通警察支队,公安局交通警察支队,3
661,20180103146297,交通港口,出租车,物品遗失,其他,市民来电反映: 于1月3日18:40左右在明珠广场乘坐出租车（不清楚车牌），19:00左右海口汽车西站对面下车，在出租车后座遗落一部黑色oppoR11S手机。请交通局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,市交通运输和港航管理局,交通运输和港航管理局,1
663,20180101114979,环境保护,夜间施工许可,夜间施工的现象,超时施工,市民来电咨询: 超时施工时间段是什么的问题。,市数字城管专席,数字城管专席,1
665,20180103143892,公安（治安、交通）,交通管理,过户上牌,车辆过户上牌,市民来电咨询:异地车辆过户到海口市的问题。,市公安局交通警察支队,公安局交通警察支队,3
668,20180102125859,城管问题,街面秩序,占道废品收购,占道经营,"市民来电反映: 其将水果放在龙华区三叶东路路口盛世鼎早餐店门口被龙华区城管收走，其购买只是放在该地方不是其占道卖，要求城管将其水果取回来。（市民表示在此等城管给其将水果送回）请龙华区城管核实处理。（请职能局按规定在30分钟内与市民联系响应处置）
于2018-01-02 10:43龙华区城管局答复：该投诉人是将水果摆出来贩卖，并不是其购买家用的，如有疑问请投诉人到海垦街道办事处当面对质。（工单号：20180102124354）
市民再次来电反映：其到海垦街道办，但是队员不肯归还其的东西，其母亲年级已大并没有摆卖东西，故来电投诉城管没收东西不合理，请城管核实处理！（请职能局按规定在30分钟内联系市民，响应处置）",龙华区城管局,城市管理行政执法局,2
669,20180102126054,城管问题,街面秩序,非机动车乱停放,机动车道,"市民微信咨询: 工单编号20180101119809《关于琼山区城南一横路2号金川手机连锁卖场店门口有非机动车（电动车）占道停放的问题》工单处理情况。
工单内容：
民来电反映:琼山区城南一横路2号金川手机连锁卖场门前有非机动车（电动车）占道停放，请琼山区政府核实处理！（30分钟办件）",琼山区政府服务中心,政府服务中心,2
672,20180101121827,“12345”热线,12345热线,信息咨询,信息咨询,市民微信咨询:滨海大道96号的海港大厦外墙装修什么时候结束（非个人装修），请秀英区政府核实处理！（请秀英区政府按规定30分钟联系市民，响应处理）,海南港航控股有限公司,港航控股有限公司,4
673,20180102132137,公安（治安、交通）,其他,其他,其他,市民市民云咨询：其有网约资格证，车的运营证正在办理中，想咨询是否可以接单开车吗？请交通局核实处理!（请职能局按规定在30分钟内响应处置）,市交通运输和港航管理局,交通运输和港航管理局,1
676,20180104149589,公安（治安、交通）,交通管理,交通设施,交警指挥,市民来电咨询: 外省户籍驾驶证丢失补办所需材料的问题，请交警部门给予核实处理！,市公安局交通警察支队,公安局交通警察支队,3
678,20180102122408,公安（治安、交通）,其他,其他,其他,"凤翔派出所来电反馈:（工单编号：20180102122355）《关于民警不作为的问题》处理情况
工单内容
市民来电反映:其在丁村南路竹园酒屋被殴打，报警后民警（警号013416）到场却无进行任何处理就离开，其认为该民警不作为，故来电反映，望尽快得到处理。请市公安局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）",市公安局,公安局,3
681,20180103143701,司法行政,其他,其他,其他,"市民来电撤销: 工单号（20180103142663）《关于结婚证出生日期和身份证不一致的问题》工单处理情况。
工单内容：
市民来电反映: 其1995年在美兰区民政局办理结婚证，现结婚证的出生日期和身份证上的不一致，咨询是否能更改结婚证日期，请民政局核实处理（请职能局按规定在30分钟内联系市民，响应处置）",美兰区民政局,民政局,0
683,20180104148676,公安（治安、交通）,其他,其他,其他,市民来电反映: 龙昆南与城西路口现交通拥堵，现场未见有交警在场疏导交通，请交警核实处理。（请职能局按照规定在三十分钟内联系市民，响应处置。),市公安局交通警察支队,公安局交通警察支队,3
685,20180102132392,城管问题,扩展事件,夜间排挡摊点,占道经营,市民来电反映:龙华区国贸海口市玉沙实验学校门口最近每天上下学的高峰期都有人占道经营，请城管核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,龙华区城管局,城市管理行政执法局,2
688,20180102131585,城乡建设,其他,其他,其他,市民来电咨询：海口市住建局电话的问题，请职能局给予核实回复!,市住房和城乡建设局,住房和城乡建设局,1
692,20180101120257,其他,其他,其他,其他,"市民再次来电反映：其于2015年开始投诉美俗路秀华居委会前面有两层违章建筑的问题，市民表示该栋违建于2013年6月份开始盖建，当时管辖该路段的中队长叫王勇，其当时已多次向他反映，可是一直到2014年房子盖建好，违建还是没有拆了作，期间秀英城管说拆除可是一直未拆除，市民告知该处的违建导致附近居民出入不便，请城管核实处理。（请职能局按规定在30分钟内联系市民响应处置）
2017-12-29 14:30:05秀英区城管局回复：2017年7月12日，美俗路17号铺面12平方的案件一审判决结果:撤销秀英区城市管理行政执法局于2017年2月4日下达的《行政处罚决定书》。一审判决撤销秀英区城市管理行政执法局于2017年2月4日下达的《行政处罚决定书》后，秀英区城市管理行政执法局不服，于2017年9月29日向海口市中级人民法院提起行政诉讼（二审）。 2017年11月15日，美俗路17号铺面12平方米的案件二审判决结果如下:龙惠清剩余17.68平方米用地未予征收。这么小的用地面积，显然难以进行规划报建。但是，鉴于用地的权益仍然存在，如不允许被上诉入使用该地，明显有伴常理。故被上诉人未经报建的建设行为，有其违法之处，也有其无奈之处。从被上诉人的个人情况上看，本案现有证据未显示被上诉入还拥有其他房产。从涉案建筑的建设及用途上看，建设时间为2013年，建筑面积仅12平方米，且用于出租保障基本生活。因此，涉案建筑符合前述规定的暂缓拆除条件。与一审判决一致，撤销秀英区城市管理行政执法局于2017年2月4日下达的《行政处罚决定书》。二审判决为终审判决，即2013年10月，龙惠清在17.68平方米土地上修建两层框架结构的房屋列入暂缓拆除。秀英区城市管理行政执法局根据法院的一审、二审判决及当事人的需求暂缓拆除该房屋，根据以上情况，特申请最终回复。 由于文件资料过多，详细情况请看附件文档。（工单号20171229074731）
市民再次来电反映：其表示对该回复非常不满意，该建筑将路面占完，多次反映希望得到职能局的重视，尽快给其回复解决问题请城管核实处理。（请职能局按规定在30分钟内联系市民响应处置）",秀英区城管局,城市管理行政执法局,2
694,20180101120850,其他,其他,其他,其他,市民来电反映: 12月30日在中山北路阿曼公子海口店买的羽绒服送人发现不合码，12月31日向店家反映不予退换，故来电希望工商部门出面调解，请工商局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,海口工商局,工商局,0
695,20180103141165,公安（治安、交通）,其他,其他,其他,市民微信反映: 打私彩中奖，老板不肯给其钱的问题。,市公安局,公安局,3
698,20180103143847,部件,公共设施,电力井盖,下陷,市民来电反映: 在秀英兵工大酒店至友谊路路口路段（下世贸位置），其表示该路段两边的道路井盖几乎都有下陷松动现象，应是之前施工的遗留问题，导致井盖与路面未持平，但因市民无法核实井盖归属，故希望城管部门工作人员可以前往核实井盖归属。请城管核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,市数字城管专席,数字城管专席,1
703,20180103142471,城管问题,市容环境,油烟污染,其他,"美兰区城管来电反馈: 工单号20180103135723《关于美兰区文明东路65号滨江骏园小区一楼铺面龙达湛江烧蚝庄产生油烟的问题》工单处理情况
工单内容：
市民来电反映:美兰区文明东路65号滨江骏园小区一楼铺面龙达湛江烧蚝庄昨晚尝试开业，其表示该店在营业时产生很重油烟味，影响市民生活，请市城管核实处理（请职能局按规定在30分钟内核实处理，响应处置）2017-09-30 23:36:20美兰区城管局答复：接到市民投诉后，我局白沙中队、环保部门于2017年9月30日21点30分共同到达现场进行查处，经中队反馈：该店已安装油烟净化器，但是往地下排放，已对其下达《责令停止违法（章）行为通知书》文书编号0005333，停止油烟排放行为。于2017年9月30日21点44分告知市民处理结果。（工单号20170930044345）
市民再次来电反映：该店铺一直没有做油烟高排，店铺正在工作要求尽快到场处置。请城管核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）
2018-01-02 美兰区城管反馈：我局执法中队白沙中队于1月2日23点4分再次到达现场进行处理，经中队反馈，我局白沙中队、环保部门于2017年9月30日21点30分共同到达现场进行查处，经中队反馈：该店已安装油烟净化器，但是往地下排放，已对其下达《责令停止违法（章）行为通知书》文书编号0005333，停止油烟排放行为。现正在整改中，现场现在未有任何油烟排放，如投诉人有异议可提供联系方式或者与我局执法中队一起前往现场核实处理。（工单编号：20180102134705）
市民再次来电咨询：该问题已经反映多次，但是城管每次答复都是在整改，是否有整改时限？希望给出具体整改时限，如未按时整改则如何处理？请城管核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）",市数字城管专席,数字城管专席,1
705,20180102132380,公安（治安、交通）,其他,其他,其他,市民来电咨询:其1月2日16:00在南海大道保税区处理违章，交警直接让其缴纳罚款并且开了违章处罚书，市民发现违章处罚书上的点和实际违章点不一致，请市交警核实处理，（请职能局按规定在30分钟内联系市民，响应处置）,市公安局交通警察支队,公安局交通警察支队,3
706,20180104150042,人力保障,社保信息,社保卡,其他,市民云反映：为什么其的社保查不到？请社保局核实处理！（请职能局按规定在30分钟内核实处理，响应处置） ,市社会保险事业局,社会保险事业局,1
709,20180102122311,城管问题,扩展事件,夜间排挡摊点,人为噪音,"国兴派出所来电反馈:20180102122295《关于琼山区攀丹中村鸿润雅苑旁雨芳烤面筋店噪音扰民的问题》处理情况
工单内容：
市民微信反映: 琼山区攀丹中村鸿润雅苑旁一个叫雨芳烤面筋店，白天不营业，天黑后营业到三四点，特别吵，作为隔壁住户已经神经衰弱，请公安局核实处理！（请职能局按规定在30分钟内核实处理，响应处置）",市公安局,公安局,3
714,20180103146685,城管问题,市容环境,污水溢流,其他,"龙华区市政来电反馈：（工单编号20180103146437）《关于龙华区高坡下村高坡农贸市场附近路口处有污水井盖外溢的问题》工单结果
工单内容：市民来电反映: 龙华区高坡下村高坡农贸市场附近路口处有污水井盖外溢，影响周边居民生活。请龙华区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）
2017-12-30 海口市龙华区市政维修管理中心：接到办件后，我中心高度重视，立即安排工作人员赶往现场进行勘查，经核实，该处污水溢流问题已得到解决，目前无污水外溢现象，因此，此单申请办结。市民再次来电反映：现在该处污水溢流。请龙华区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）
",龙华区政府服务中心,政府服务中心,2
716,20180103140728,公安（治安、交通）,其他,其他,其他,市民微信咨询:异地驾照到期补办的问题？ ,市交通运输和港航管理局,交通运输和港航管理局,1
717,20180103141022,交通港口,停车管理,公共停车场,收费,市民来电反映:金宇路映山红酒店对面的停车场的问题,市交通运输和港航管理局,交通运输和港航管理局,1
723,20180102134484,交通港口,出租车,服务规范,司机态度,市民来电反映:在2018年1月2日21:50分在手机软件上叫网约滴滴出租车十多分钟都没有出租车接单，便自行打了出租车随即取消了订单，车牌（琼A49640）接到了订单，其电话与该司机沟通取消订单但是海口耀兴出租公司司机破口大骂态度极其恶劣还要求支付费用，请交通局核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）,市交通运输和港航管理局,交通运输和港航管理局,1
724,20180101120343,民政,其他,其他,其他,市民来电咨询: 老人去世需要领取社保里面的钱要去哪里领取的问题,市社会保险事业局,社会保险事业局,1
727,20180103138513,司法行政,其他,其他,其他,市民公众号咨询：儿子户口在海口，父母户口可以转到海口的问题,市公安局,公安局,3
729,20180103136951,交通港口,出租车,物品遗失,其他,市民来电反映: 其于今天7:40在长提路和平桥前面一个公交站乘坐出租车前往美兰机场，其在车的后座丢失了一张黄色员工班车卡，其表示在美兰机场有下过车，然后乘原车最后到达海航基地，不记得车牌号码了。希望能找回。请交通局核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置） （30分钟办件） ,市交通运输和港航管理局,交通运输和港航管理局,1
730,20180102129964,工商(消保),其他,其他,其他,市民来电咨询: 已经注销的公司是否还能打报表？,海口工商局,工商局,0
731,20180103141708,公安（治安、交通）,户籍管理,身份证管理,办理,市民来电咨询: 长流镇身份证办理地址的问题,市公安局,公安局,3
732,20180103143521,公安（治安、交通）,交通管理,过户上牌,车辆过户上牌,市民来电咨询:其想在广东购买机动车新车运回海口之后落户海口，同时车辆将落户公司名下，故来电咨询车辆是否有什么要求，办理需要什么材料，请交警核实处理，谢谢。（请职能局按规定在30分钟内核实处理，响应处置） ,市公安局交通警察支队,公安局交通警察支队,3
735,20180104149905,住房保障,其他,其他,其他,市民来电咨询: 海口市国土局不动产窗口电话的问题。,市国土资源局,国土资源局,2
736,20180102123379,质量技术监督,特种设备监察,安全监察,锅炉,"市民来电反映:其于12月31日号上午9点在美兰区大致坡农贸市场鸿春堂药店购买340元的药物，药店送礼品（电磁炉锅），拿回去家上螺丝突然玻璃直接破碎割伤其的手，到医院进行缝针花费600元，其觉得该药店存在问题。
请质监局核实处理！(请职能局按规定在30分钟内联系市民，响应处置)",海口工商局,工商局,0
738,20180102125015,“12345”热线,传真信息,信息咨询,信息咨询,市民来电咨询:驾管所电话的问题。 ,市公安局交通警察支队,公安局交通警察支队,3
741,20180102130366,公安（治安、交通）,其他,其他,其他,"市民来电反映: 其是离职的出租车司机，现在昌岛公司办理社保报停需要负责人审批，但前往三次负责人都不在，故来电投诉。请交通局核实处理！谢谢！
（请职能局按规定在30分钟内联系市民，响应处置）  ",市交通运输和港航管理局,交通运输和港航管理局,1
742,20180103139085,工商(消保),其他,其他,其他,市民微信咨询:公司营业执照变更地址需要哪些材料？,海口工商局,工商局,0
743,20180101119549,其他,其他,其他,其他,市民来电反映: 投诉补一张有线电视卡需要49元其认为过高不合理，致电客服咨询963999告知其需要交纳49元费用，请有线电视核实处理。,中国有线电视网络有限公司海口分公司,中国有线电视网络有限公司,4
746,20180102130062,城管问题,扩展事件,旅客投诉,公交车,"市民来电反映: 其在12月25日乘坐4路公交车（不记得车牌号），17:00左右在高登东街与高登西街交叉口处的公交车站下的车，但是其在下车时，司机过早关门，导致其胳膊被夹，现在其发现其胳膊活动时很不方便，故来电投诉，请公交集团核实处理，谢谢！（请职能局按规定在30分钟内，响应处置）
2018-01-01 17:42:54海口市公共交通集团有限公司答复：经查，我司4路公交车起点：国贸，终点：府城，全程28.5公里，市民没有提供车辆具体信息，我司现没有核查到被投诉车辆及驾驶员。对此，我司已要求线路管理人员加强监督管理，严格要求线路驾驶员时刻注意留意周围的情况，耐心等候市民上下车完毕，方可关门离站。已短信与市民沟通。（20171230104540）
市民再次来电反映：已经提供了下车的时间于地址，公交集团应该可以查询得到该公交班次是哪位司机驾驶的。而且公交车上都有视频监控，其认为不合理，对公交集团的答复不满意。请公交集团核实处理，谢谢！（请职能局按规定在30分钟内，响应处置）",海口市公共交通集团有限公司,公共交通集团有限公司,4
751,20180103140689,住房保障,其他,其他,其他,市民来电咨询：海口市住建局电话的问题，请职能局给予核实回复!,市住房和城乡建设局,住房和城乡建设局,1
753,20180104149108,公安（治安、交通）,交通管理,交通设施,交警指挥,市民来电反映:国贸北路工商银行路段的停车位处，有车辆堵路的问题。请交警部门给予核实处理!,市公安局交通警察支队,公安局交通警察支队,3
754,20180102134281,公安（治安、交通）,交通管理,交通设施,交警指挥,"市民来电反映: （工单编号20180102133952）《关于反馈海甸岛五西路德立路6号自来水公司宿舍内有车挡住其的车的问题》处理结果
工单内容
市民来电反映: 海甸岛德立路6号自来水公司宿舍小区内有车挡住其的车，车牌号：琼ACW550，希望通知车主移车，请交警核实处理。（请职能局按规定在30分钟内联系市民，响应处置）
",市公安局交通警察支队,公安局交通警察支队,3
759,20180102124281,司法行政,其他,其他,其他,市民来电咨询: 机动车辆性质变更的问题。,市公安局交通警察支队,公安局交通警察支队,3
762,20180102127919,城乡建设,道路维护,路面养护,路面污染,市民来电反映: 龙华区龙桥镇龙源街邦洁汽车美容中心店洗车时经常把污水排放到路面，其表示附近都是污水泥土，影响市民通行，请城管核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,龙华区城管局,城市管理行政执法局,2
766,20180103139783,司法行政,其他,其他,其他,市民来电咨询: 机动车驾驶证换证材料和地址，请市交警核实处理！谢谢（请职能局按规定在30分钟内联系市民，响应处置）  ,市公安局交通警察支队,公安局交通警察支队,3
767,20180103139838,农业,村队管理,土地征用,土地征用,"新坡镇政府来电咨询:政府工单号20180101116611《关于龙华区新坡镇梁沙村土地被征用未赔偿的问题》工单处理情况
原工单内容：
市民来电反映:其是龙华区新坡镇梁沙村村民，其家里土地2009年被征用（不清楚被谁征用，未有补偿），其于8月31日联系新坡镇政府，工作人员告知需要请示领导再答复，其要求给出处理时限，请龙华区政府核实处理（请职能局按规定30分钟内联系市民响应处置）
2017-12-24 22:57:13 龙华区新坡镇政府：该村民反映的问题驻村工作组己多次协调各村的村民小组尽快处理，个别村民小组己通过村民代表大会作了分配方案，多个村民小组还沒有召开代表会，其中梁沙村己做好分配方案，因为分配是由村民代表会议决定，驻村工作组只能协调，推促，(当事人保密无法联系 ，请前台联系)（政府工单号20171223989178）
市民再次来电反映：其表示款项已经下发，只需要签名就可以领取征用款，但是需要扣除百分之二十的费用，其认为不合理。请龙华区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）

",龙华区政府服务中心,政府服务中心,2
768,20180104148410,工商(消保),违法经营,违法传销,非法传销,市民来电反映: 非法卖淫问题,市公安局,公安局,3
771,20180104149645,城乡建设,道路维护,道路改建,不完善,市民公众号咨询：龙华区苍峄二路的断头路在海马一路与头铺村交界处的双创公园搞好后是否会打通？以便方便苍峄二路附近的居民前往双创公园。请龙华区政府核实处理（请职能局按规定在30分钟内联系市民，响应处置）,龙华区住建局,住房和城乡建设局,1
772,20180101118673,交通港口,出租车,服务规范,拒载,市民来电反映:于1月1日海口站出站口等到出租车（琼A42310，琼A21425）前往澄迈，司机拒载还乱要价，故来电投诉。请交通局核实处理！（请职能局在规定30分钟内联系市民，响应处置）,市交通运输和港航管理局,交通运输和港航管理局,1
773,20180102127614,司法行政,其他,其他,其他,"长提派出所来电咨询:（工单编号20171231113181）关于在世纪公园海岸线城市亮化工程安装的电缆线经常被偷（已经被盗过5次）的问题
工单内容：
市民来电反映: 在世纪公园海岸线城市亮化工程安装的电缆线经常被偷（已经被盗过5次），已经报警过几次但还是经常被盗，请公安局核实处理。",市公安局,公安局,3
774,20180102127495,公安（治安、交通）,交通管理,交通设施,交警指挥,市民来电反映:港澳大道与海盛路交汇处调头往回海盛路的拐弯处（蓝城商务大厦侧门旁边）的机动车道上有很多集装箱堵路，请交警核实处理，谢谢（请职能局30分内核实处理，响应处置）,市公安局交通警察支队,公安局交通警察支队,3
777,20180101118893,公安（治安、交通）,其他,其他,其他,市民来电反映: 美兰区文昌市往海口高速公路罗牛山路段交通拥堵，请交警部门核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,市公安局交通警察支队,公安局交通警察支队,3
782,20180104148501,交通港口,出租车,物品遗失,其他,市民来电反映:其于1月4日5点45分在义龙路妈妈粥店门前路段乘坐一辆出租车（不记得车牌号），6点左右在新城路第三小学门前下车，等待车辆离开后才发现女士挂包（现金、黑色）遗落在出租车上，请市交通运输和港航管理局核实处理!(请职能局按规定在30分钟内联系市民，响应处置) ,市交通运输和港航管理局,交通运输和港航管理局,1
783,20180103140060,部件,公共设施,公安井盖,破损,"公安局来电反馈: 工单编号20180103138815《关于海秀东路明阳大酒店旁有个公安井盖丢失的问题》处理结果
工单内容：市民微信反映: 海秀东路明阳大酒店旁有个公安井盖丢失，请公安部门核实处理。（30分钟办件）",市公安局,公安局,3
784,20180104149917,其他,其他,其他,其他,市民来电咨询: 网约车司机需要办理什么材料？,市交通运输和港航管理局,交通运输和港航管理局,1
787,20180102123634,民政,其他,其他,其他,市民来电咨询:龙华区民政局电话。,市民政局,民政局,0
790,20180101120794,交通港口,出租车,物品遗失,其他,"市民来电反映: 其于18点50分在美兰机场乘坐出租车前往万华酒店，于19点40左右下车时在车辆的后备箱遗失了一个箱子，请交通局核实处理！（请职能局按规定在30分钟内联系市民，响应处置）
",市交通运输和港航管理局,交通运输和港航管理局,1
795,20180103136900,土地规划,其他,其他,其他,"市民来电反映:其是龙华区龙桥镇三角园村村民，在自有的昌尧土地进行养殖，持有龙桥镇政府颁发的土地证，现有别村民到场表示该土地不属于其，是其他村民所有，其望有关部门到场进行核实处理，证明该土地归属。请龙华区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）
2017-11-18 10:06:00龙桥镇人民政府关于市民所反映的问题，市民既持有土地证，则已证明土地的归属，无需再另作证明。同村其他村民若对此存有异议，则请他们提供出相关材料以证明。（于2017年11月18日上午10时06分，我镇工作人员已将回复意见告知当事人。）（20171116520940）
市民再次来电反映：该问题一直未解决，龙桥镇政府要求其去国土局处理，去国土局后国土局告知去农林局，农林称走司法途径，走司法后司法称有相关证件不等走司法，建议去找龙桥镇政府处理。请龙华区政府核实处理！（请职能局按规定在30分钟内联系市民，响应处置）",龙华区龙桥镇政府,人民政府,3
798,20180104148513,城管问题,扩展事件,旅客投诉,公交车,市民来电反映: 6:45左右在海南英利公交车站开往旧村小学的64路车不进站，其认为不合理，请公交集团核实处理！（请职能局按规定在30分钟，响应处置）,海口市公共交通集团有限公司,公共交通集团有限公司,4
803,20171229079605,公安（治安、交通）,交通管理,交通法规,车辆违章,"市民来电咨询:违章代码1357的违法行为的问题。
",市公安局交通警察支队,公安局交通警察支队,3
